# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.060120240    0.021347451    0.021347450    0.021347449
    0.120240481    0.042795899    0.042795898    0.042795896
    0.180360721    0.064447675    0.064447673    0.064447670
    0.240480962    0.086407806    0.086407804    0.086407800
    0.300601202    0.108785459    0.108785456    0.108785451
    0.360721443    0.131695487    0.131695483    0.131695477
    0.420841683    0.155260141    0.155260137    0.155260130
    0.480961924    0.179610989    0.179610985    0.179610976
    0.541082164    0.204891104    0.204891098    0.204891089
    0.601202405    0.231257606    0.231257599    0.231257588
    0.661322645    0.258884647    0.258884639    0.258884627
    0.721442886    0.287966962    0.287966953    0.287966940
    0.781563126    0.318724131    0.318724120    0.318724106
    0.841683367    0.351405762    0.351405749    0.351405733
    0.901803607    0.386297832    0.386297817    0.386297800
    0.961923848    0.423730546    0.423730528    0.423730510
    1.022044088    0.464088141    0.464088120    0.464088101
    1.082164329    0.507821251    0.507821227    0.507821207
    1.142284569    0.555462653    0.555462625    0.555462602
    1.202404810    0.607647514    0.607647481    0.607647457
    1.262525050    0.665139738    0.665139700    0.665139675
    1.322645291    0.728866619    0.728866573    0.728866547
    1.382765531    0.799965013    0.799964959    0.799964931
    1.442885772    0.879843707    0.879843642    0.879843613
    1.503006012    0.970268879    0.970268802    0.970268772
    1.563126253    1.073483161    1.073483068    1.073483038
    1.623246493    1.192374424    1.192374312    1.192374282
    1.683366733    1.330719844    1.330719709    1.330719679
    1.743486974    1.493546565    1.493546399    1.493546371
    1.803607214    1.687677815    1.687677611    1.687677586
    1.863727455    1.922582806    1.922582551    1.922582533
    1.923847695    2.211741033    2.211740711    2.211740703
    1.983967936    2.574911093    2.574910679    2.574910688
    2.044088176    3.042059818    3.042059275    3.042059313
    2.104208417    3.660492927    3.660492199    3.660492284
    2.164328657    4.508517596    4.508516591    4.508516756
    2.224448898    5.723313984    5.723312540    5.723312847
    2.284569138    7.561949272    7.561947092    7.561947662
    2.344689379   10.544814149   10.544810629   10.544811720
    2.404809619   15.804980468   15.804974309   15.804976508
    2.464929860   25.776495864   25.776484512   25.776489187
    2.525050100   43.327494264   43.327476883   43.327486034
    2.585170341   61.263043413   61.263029523   61.263035625
    2.645290581   61.538760347   61.538753348   61.538745085
    2.705410822   46.653306951   46.653303270   46.653288931
    2.765531062   34.345340308   34.345337115   34.345328168
    2.825651303   30.415505545   30.415502195   30.415495211
