# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    17.573876900   17.573877490   17.573884180
    0.000000000   20.402828581   20.402829371   20.402828622
    0.060120240   20.409215121   20.409215910   20.409215161
    0.120240481   20.428404697   20.428405486   20.428404736
    0.180360721   20.460487572   20.460488361   20.460487609
    0.240480962   20.505615493   20.505616280   20.505615526
    0.300601202   20.564003687   20.564004473   20.564003716
    0.360721443   20.635933740   20.635934524   20.635933764
    0.420841683   20.721757413   20.721758195   20.721757431
    0.480961924   20.821901524   20.821902304   20.821901535
    0.541082164   20.936874018   20.936874794   20.936874020
    0.601202405   21.067271406   21.067272180   21.067271399
    0.661322645   21.213787809   21.213788578   21.213787791
    0.721442886   21.377225868   21.377226632   21.377225837
    0.781563126   21.558509915   21.558510673   21.558509870
    0.841683367   21.758701836   21.758702587   21.758701775
    0.901803607   21.979020220   21.979020963   21.979020141
    0.961923848   22.220863542   22.220864275   22.220863444
    1.022044088   22.485838335   22.485839058   22.485838215
    1.082164329   22.775793597   22.775794306   22.775793451
    1.142284569   23.092863052   23.092863746   23.092862878
    1.202404810   23.439517421   23.439518097   23.439517215
    1.262525050   23.818629539   23.818630195   23.818629298
    1.322645291   24.233556167   24.233556798   24.233555886
    1.382765531   24.688241718   24.688242320   24.688241392
    1.442885772   25.187351100   25.187351667   25.187350722
    1.503006012   25.736441723   25.736442250   25.736441287
    1.563126253   26.342188920   26.342189397   26.342188416
    1.623246493   27.012685240   27.012685659   27.012684659
    1.683366733   27.757843553   27.757843901   27.757842883
    1.743486974   28.589948442   28.589948704   28.589947667
    1.803607214   29.524423182   29.524423339   29.524422285
    1.863727455   30.580916000   30.580916027   30.580914958
    1.923847695   31.784868007   31.784867874   31.784866794
    1.983967936   33.169820785   33.169820448   33.169819363
    2.044088176   34.780875219   34.780874622   34.780873542
    2.104208417   36.679946795   36.679945862   36.679944803
    2.164328657   38.953745151   38.953743775   38.953742762
    2.224448898   41.725368874   41.725366905   41.725365977
    2.284569138   45.167873094   45.167870325   45.167869540
    2.344689379   49.501263178   49.501259357   49.501258788
    2.404809619   54.857143939   54.857138978   54.857138642
    2.464929860   60.381155250   60.381150501   60.381149868
    2.525050100   60.643278328   60.643280108   60.643275441
    2.585170341   45.194899229   45.194910791   45.194894231
    2.645290581   20.700887525   20.700900529   20.700883342
    2.705410822    7.143853500    7.143864755    7.143858591
    2.765531062    8.371099490    8.371109362    8.371109286
    2.825651303   10.744796873   10.744807201   10.744805720
    2.885771543   11.331793091   11.331804394   11.331805234
    2.945891784   15.667075571   15.667087228   15.667088180
    3.006012024   19.412520573   19.412532354   19.412531315
    3.066132265   19.841806916   19.841818375   19.841819016
    3.126252505   20.408530757   20.408542113   20.408549843
    3.186372745   26.004324978   26.004336847   26.004348065
    3.246492986   34.038113170   34.038126030   34.038137933
    3.306613226   43.424076973   43.424091205   43.424103625
    3.366733467   53.943350380   53.943366258   53.943378144
    3.426853707   62.625612261   62.625629141   62.625632075
    3.486973948   58.687492425   58.687506717   58.687486509
    3.547094188   38.002533347   38.002542841   38.002513921
    3.607214429    4.579833579    4.579841005    4.579807514
    3.667334669  -35.250042466  -35.250038537  -35.250065714
    3.727454910  -56.213012294  -56.213013741  -56.213024899
    3.787575150  -60.853290906  -60.853295111  -60.853289474
    3.847695391  -53.323240617  -53.323243761  -53.323231795
    3.907815631  -44.306713752  -44.306715271  -44.306703731
    3.967935872  -36.411274973  -36.411274965  -36.411264974
    4.028056112  -30.224407818  -30.224409877  -30.224401173
    4.088176353  -26.375590794  -26.375601080  -26.375593265
    4.148296593  -22.599319574  -22.599332894  -22.599326460
    4.208416834  -18.219661277  -18.219673304  -18.219668046
    4.268537074  -14.350701837  -14.350711976  -14.350708223
    4.328657315  -12.421223019  -12.421231355  -12.421228607
    4.388777555  -11.695725443  -11.695732392  -11.695726452
    4.448897796  -13.066315874  -13.066321328  -13.066315333
    4.509018036  -18.737485392  -18.737489842  -18.737486772
    4.569138277  -21.365486226  -21.365491194  -21.365489023
    4.629258517  -20.013939829  -20.013945451  -20.013942600
    4.689378758  -17.628682112  -17.628687771  -17.628684638
    4.749498998  -15.437588682  -15.437594308  -15.437591140
    4.809619238  -13.333027880  -13.333033208  -13.333030371
    4.869739479  -11.276959922  -11.276964766  -11.276962155
    4.929859719   -9.395221337   -9.395225716   -9.395223263
    4.989979960   -8.063516172   -8.063520205   -8.063517877
    5.050100200   -7.991256734   -7.991260564   -7.991258191
    5.110220441   -7.691601280   -7.691604878   -7.691602361
    5.170340681   -6.459788603   -6.459792264   -6.459790046
    5.230460922   -5.412979505   -5.412982921   -5.412982035
    5.290581162   -5.388599047   -5.388601844   -5.388601945
    5.350701403   -5.066819050   -5.066822104   -5.066820117
    5.410821643   -4.527170920   -4.527174236   -4.527171530
    5.470941884   -5.301961546   -5.301965279   -5.301962684
    5.531062124   -5.657743997   -5.657747933   -5.657745663
    5.591182365   -4.878416556   -4.878420523   -4.878418705
    5.651302605   -4.042827287   -4.042831355   -4.042829944
    5.711422846   -2.865819222   -2.865823352   -2.865821595
    5.771543086   -1.105986721   -1.105990730   -1.105988683
    5.831663327    0.240320437    0.240316148    0.240318517
    5.891783567   -0.636893496   -0.636898995   -0.636896803
    5.951903808   -2.436588433   -2.436594610   -2.436592805
    6.012024048   -2.503635890   -2.503642299   -2.503640400
    6.072144289   -1.709323445   -1.709330082   -1.709328590
    6.132264529   -0.990799184   -0.990805185   -0.990804545
    6.192384770   -2.194305393   -2.194310283   -2.194309673
    6.252505010   -4.845786691   -4.845791851   -4.845789589
    6.312625251   -8.293452246   -8.293458200   -8.293453401
    6.372745491  -11.295955783  -11.295961791  -11.295956544
    6.432865731  -12.644285594  -12.644291126  -12.644286542
    6.492985972  -11.617628997  -11.617634590  -11.617630647
    6.553106212   -9.618885438   -9.618891491   -9.618887512
    6.613226453   -7.875506847   -7.875512676   -7.875508916
    6.673346693   -7.537064718   -7.537067744   -7.537066095
    6.733466934   -8.864883843   -8.864884319   -8.864885079
    6.793587174   -9.144023521   -9.144024238   -9.144024803
    6.853707415   -8.043437790   -8.043439272   -8.043439185
    6.913827655   -7.003822679   -7.003825113   -7.003824014
    6.973947896   -6.916155137   -6.916158876   -6.916156867
    7.034068136   -7.358541263   -7.358546414   -7.358544457
    7.094188377   -7.021781568   -7.021787451   -7.021785614
    7.154308617   -6.811586144   -6.811591672   -6.811589916
    7.214428858   -7.331741248   -7.331746134   -7.331743689
    7.274549098   -7.652335746   -7.652340686   -7.652337604
    7.334669339   -7.654011215   -7.654016624   -7.654013132
    7.394789579   -7.197228544   -7.197234769   -7.197231142
    7.454909820   -6.707522436   -6.707528150   -6.707525177
    7.515030060   -6.931864269   -6.931864555   -6.931865927
    7.575150301   -7.543520459   -7.543514218   -7.543520698
    7.635270541   -7.319144097   -7.319136855   -7.319144464
    7.695390782   -6.741828173   -6.741822334   -6.741828830
    7.755511022   -6.363039985   -6.363036146   -6.363039253
    7.815631263   -6.267916572   -6.267913978   -6.267913418
    7.875751503   -6.345272724   -6.345270608   -6.345267684
    7.935871743   -6.079000561   -6.078998883   -6.078995664
    7.995991984   -5.640746492   -5.640745381   -5.640742334
    8.056112224   -5.216763552   -5.216763166   -5.216760120
    8.116232465   -4.795336521   -4.795336653   -4.795333623
    8.176352705   -4.373966737   -4.373967234   -4.373964242
    8.236472946   -3.970684522   -3.970685302   -3.970682347
    8.296593186   -3.663725748   -3.663726455   -3.663723798
    8.356713427   -3.523961822   -3.523961956   -3.523960026
    8.416833667   -3.503895182   -3.503895277   -3.503893540
    8.476953908   -3.637142453   -3.637143134   -3.637141128
    8.537074148   -3.851344658   -3.851346661   -3.851343843
    8.597194389   -4.100052292   -4.100055626   -4.100051650
    8.657314629   -4.029902656   -4.029905730   -4.029901289
    8.717434870   -3.876803521   -3.876804937   -3.876800657
    8.777555110   -3.612876061   -3.612877085   -3.612872644
    8.837675351   -3.431999897   -3.432000832   -3.431996758
    8.897795591   -3.416322333   -3.416321257   -3.416319717
    8.957915832   -3.459685366   -3.459681366   -3.459683689
    9.018036072   -3.459816701   -3.459812842   -3.459815801
    9.078156313   -3.392046064   -3.392043557   -3.392045604
    9.138276553   -3.251522229   -3.251520581   -3.251522160
    9.198396794   -3.177346505   -3.177345212   -3.177346758
    9.258517034   -3.080638617   -3.080637345   -3.080638670
    9.318637275   -2.858824276   -2.858823257   -2.858824338
    9.378757515   -2.647140367   -2.647139622   -2.647140445
    9.438877756   -2.778834894   -2.778833846   -2.778834427
    9.498997996   -2.988668437   -2.988667259   -2.988667477
    9.559118236   -2.816030556   -2.816029896   -2.816029776
    9.619238477   -2.512518341   -2.512518103   -2.512517771
    9.679358717   -2.340048849   -2.340047720   -2.340047706
    9.739478958   -2.383836363   -2.383832991   -2.383833686
    9.799599198   -2.576869111   -2.576863984   -2.576865373
    9.859719439   -2.802495192   -2.802488873   -2.802491247
    9.919839679   -2.718967809   -2.718961565   -2.718964203
    9.979959920   -2.515516817   -2.515511220   -2.515513622
   10.040080160   -2.383741454   -2.383737371   -2.383738764
   10.100200401   -2.362929664   -2.362927687   -2.362927681
   10.160320641   -2.388824788   -2.388823788   -2.388823060
   10.220440882   -2.489672171   -2.489671205   -2.489670168
   10.280561122   -2.624296584   -2.624294496   -2.624294622
   10.340681363   -2.778969744   -2.778966101   -2.778968109
   10.400801603   -2.711423913   -2.711419796   -2.711422400
   10.460921844   -2.557359903   -2.557355804   -2.557358523
   10.521042084   -2.342561903   -2.342557684   -2.342560641
   10.581162325   -2.134813472   -2.134809002   -2.134812239
   10.641282565   -1.981979002   -1.981974562   -1.981977680
   10.701402806   -1.983003972   -1.983000474   -1.983002049
   10.761523046   -2.130532292   -2.130530498   -2.130529297
   10.821643287   -2.218859579   -2.218858232   -2.218856203
   10.881763527   -2.262609747   -2.262608350   -2.262606631
   10.941883768   -2.232675329   -2.232674291   -2.232672880
   11.002004008   -2.172025481   -2.172025093   -2.172024087
   11.062124248   -2.110632880   -2.110632400   -2.110631883
   11.122244489   -2.022351012   -2.022349911   -2.022349763
   11.182364729   -1.916909021   -1.916907693   -1.916907664
   11.242484970   -1.833228212   -1.833226887   -1.833226859
   11.302605210   -1.825285538   -1.825284358   -1.825284409
   11.362725451   -1.890521963   -1.890521114   -1.890521359
   11.422845691   -1.863272725   -1.863271976   -1.863272274
   11.482965932   -1.848776438   -1.848776216   -1.848776128
   11.543086172   -1.817325405   -1.817325876   -1.817325068
   11.603206413   -1.713020463   -1.713020987   -1.713019944
   11.663326653   -1.587792064   -1.587792447   -1.587791393
   11.723446894   -1.465724445   -1.465724889   -1.465723845
   11.783567134   -1.348841571   -1.348842172   -1.348841088
   11.843687375   -1.246453448   -1.246454053   -1.246452891
   11.903807615   -1.162289820   -1.162290353   -1.162289263
   11.963927856   -1.071646928   -1.071647324   -1.071646373
   12.024048096   -1.043845670   -1.043845610   -1.043844847
   12.084168337   -1.121380435   -1.121378751   -1.121379154
   12.144288577   -1.167891079   -1.167887863   -1.167889533
   12.204408818   -1.176834581   -1.176832028   -1.176833418
   12.264529058   -1.192020313   -1.192019210   -1.192019808
   12.324649299   -1.298852270   -1.298852381   -1.298852565
   12.384769539   -1.383798448   -1.383798967   -1.383799046
   12.444889780   -1.369034189   -1.369034609   -1.369034682
   12.505010020   -1.293604573   -1.293604858   -1.293604882
   12.565130261   -1.192450107   -1.192450188   -1.192450065
   12.625250501   -1.080323726   -1.080323627   -1.080323333
   12.685370741   -0.977188028   -0.977187773   -0.977187389
   12.745490982   -0.947208304   -0.947207867   -0.947207458
   12.805611222   -0.977618520   -0.977618242   -0.977617687
   12.865731463   -0.979494268   -0.979494383   -0.979493413
   12.925851703   -0.900979850   -0.900980153   -0.900978765
   12.985971944   -0.843468205   -0.843468494   -0.843466931
   13.046092184   -0.842095975   -0.842095678   -0.842095069
   13.106212425   -0.858110082   -0.858108857   -0.858109719
   13.166332665   -0.978203532   -0.978201595   -0.978203792
   13.226452906   -1.148880970   -1.148878918   -1.148882076
   13.286573146   -1.148555927   -1.148553838   -1.148557068
   13.346693387   -1.133563114   -1.133560755   -1.133563885
   13.406813627   -1.197512000   -1.197509861   -1.197513633
   13.466933868   -1.184517039   -1.184515176   -1.184519669
   13.527054108   -1.085531028   -1.085528951   -1.085533580
   13.587174349   -0.987253352   -0.987251108   -0.987255368
   13.647294589   -0.928527412   -0.928525888   -0.928529168
   13.707414830   -0.903691917   -0.903692247   -0.903693837
   13.767535070   -0.884279966   -0.884281763   -0.884282090
   13.827655311   -0.849882646   -0.849884506   -0.849884900
   13.887775551   -0.871916170   -0.871917557   -0.871918443
   13.947895792   -0.892535374   -0.892536229   -0.892537711
   14.008016032   -0.827381707   -0.827382167   -0.827384206
   14.068136273   -0.737979176   -0.737979393   -0.737981712
   14.128256513   -0.677018225   -0.677018448   -0.677020410
   14.188376754   -0.685855131   -0.685855780   -0.685856511
   14.248496994   -0.719654968   -0.719655956   -0.719655202
   14.308617234   -0.743582815   -0.743583600   -0.743582272
   14.368737475   -0.831443694   -0.831445157   -0.831442745
   14.428857715   -0.893235262   -0.893237946   -0.893234689
   14.488977956   -0.863639435   -0.863642578   -0.863639599
   14.549098196   -0.814101813   -0.814104922   -0.814102669
   14.609218437   -0.792277224   -0.792279658   -0.792278108
   14.669338677   -0.793519853   -0.793520129   -0.793519712
   14.729458918   -0.768543876   -0.768542548   -0.768543044
   14.789579158   -0.712783797   -0.712782488   -0.712782966
   14.849699399   -0.664882031   -0.664881175   -0.664880953
   14.909819639   -0.626717053   -0.626716394   -0.626715676
   14.969939880   -0.589574974   -0.589574513   -0.589573785
   15.030060120   -0.539624069   -0.539623897   -0.539623451
   15.090180361   -0.496133507   -0.496133542   -0.496133361
   15.150300601   -0.482537756   -0.482537590   -0.482537514
   15.210420842   -0.529503098   -0.529502539   -0.529502329
   15.270541082   -0.581253059   -0.581253038   -0.581252699
   15.330661323   -0.588546774   -0.588547356   -0.588547021
   15.390781563   -0.559153849   -0.559154895   -0.559154552
   15.450901804   -0.548667020   -0.548668505   -0.548667937
   15.511022044   -0.553814944   -0.553816100   -0.553815612
   15.571142285   -0.544979743   -0.544980230   -0.544980076
   15.631262525   -0.528479989   -0.528479904   -0.528480017
   15.691382766   -0.515689173   -0.515688894   -0.515688505
   15.751503006   -0.513132740   -0.513132286   -0.513130716
   15.811623246   -0.483080735   -0.483080226   -0.483078301
   15.871743487   -0.440205180   -0.440204735   -0.440202944
   15.931863727   -0.405735874   -0.405735484   -0.405733934
   15.991983968   -0.382285182   -0.382284835   -0.382283562
   16.052104208   -0.358567784   -0.358567536   -0.358566424
   16.112224449   -0.334855173   -0.334855347   -0.334853974
   16.172344689   -0.322459930   -0.322461109   -0.322459378
   16.232464930   -0.339500317   -0.339502879   -0.339500905
   16.292585170   -0.342296732   -0.342298834   -0.342297276
   16.352705411   -0.337968519   -0.337969141   -0.337967986
   16.412825651   -0.338626728   -0.338626134   -0.338624799
   16.472945892   -0.327780372   -0.327779432   -0.327777834
   16.533066132   -0.302999060   -0.302998019   -0.302996314
   16.593186373   -0.265453142   -0.265452061   -0.265450623
   16.653306613   -0.223752701   -0.223751515   -0.223750537
   16.713426854   -0.185666192   -0.185664788   -0.185664343
   16.773547094   -0.170677547   -0.170675435   -0.170675859
   16.833667335   -0.199472917   -0.199471043   -0.199471029
   16.893787575   -0.250712184   -0.250713091   -0.250709743
   16.953907816   -0.253967623   -0.253970051   -0.253965014
   17.014028056   -0.243591148   -0.243593598   -0.243588590
   17.074148297   -0.240728525   -0.240730064   -0.240725998
   17.134268537   -0.228902743   -0.228903336   -0.228900477
   17.194388778   -0.203430209   -0.203430665   -0.203428189
   17.254509018   -0.176574935   -0.176575858   -0.176573075
   17.314629259   -0.163183955   -0.163185567   -0.163182122
   17.374749499   -0.146698010   -0.146699872   -0.146696137
   17.434869739   -0.125119397   -0.125120438   -0.125117498
   17.494989980   -0.121043915   -0.121042277   -0.121041639
   17.555110220   -0.121761807   -0.121758069   -0.121759129
   17.615230461   -0.132333126   -0.132329276   -0.132330204
   17.675350701   -0.136775541   -0.136772097   -0.136772450
   17.735470942   -0.112562465   -0.112559415   -0.112559378
   17.795591182   -0.081666894   -0.081664184   -0.081663821
   17.855711423   -0.059891787   -0.059889487   -0.059888609
   17.915831663   -0.056400150   -0.056398018   -0.056396795
   17.975951904   -0.046749804   -0.046747502   -0.046746252
   18.036072144   -0.020160116   -0.020157734   -0.020156441
   18.096192385    0.001631030    0.001633531    0.001634609
   18.156312625   -0.008801802   -0.008799461   -0.008799279
   18.216432866   -0.026763541   -0.026761769   -0.026762442
   18.276553106   -0.015035710   -0.015034268   -0.015034626
   18.336673347   -0.020212727   -0.020211772   -0.020210539
   18.396793587   -0.045279629   -0.045278601   -0.045276569
   18.456913828   -0.044554581   -0.044552803   -0.044551798
   18.517034068   -0.031300271   -0.031298276   -0.031298000
   18.577154309   -0.021609518   -0.021607637   -0.021607353
   18.637274549   -0.012278535   -0.012276469   -0.012276032
   18.697394790   -0.011240169   -0.011237629   -0.011237235
   18.757515030   -0.001681536   -0.001678934   -0.001678813
   18.817635271    0.009440504    0.009442418    0.009442239
   18.877755511    0.007607397    0.007608920    0.007608549
   18.937875752    0.015423570    0.015425463    0.015424924
   18.997995992    0.034198049    0.034200430    0.034199897
   19.058116232    0.046100893    0.046103615    0.046103516
   19.118236473    0.043154665    0.043156867    0.043157661
   19.178356713    0.038682706    0.038684254    0.038685533
   19.238476954    0.031007167    0.031008187    0.031009552
   19.298597194    0.030527582    0.030528075    0.030529362
   19.358717435    0.043669611    0.043670066    0.043671167
   19.418837675    0.064848464    0.064849253    0.064850322
   19.478957916    0.086193066    0.086193922    0.086195314
   19.539078156    0.103877756    0.103878711    0.103880303
   19.599198397    0.109253698    0.109254609    0.109256052
   19.659318637    0.099644833    0.099644898    0.099646032
   19.719438878    0.090106836    0.090105718    0.090105764
   19.779559118    0.094014450    0.094012962    0.094012161
   19.839679359    0.109958277    0.109956962    0.109956012
   19.899799599    0.126022453    0.126021030    0.126020550
   19.959919840    0.138332645    0.138330938    0.138330790
   20.020040080    0.154256401    0.154254849    0.154254496
   20.080160321    0.166206724    0.166206187    0.166205966
   20.140280561    0.162461099    0.162462464    0.162463107
   20.200400802    0.156089831    0.156092111    0.156093334
   20.260521042    0.155882207    0.155884693    0.155885760
   20.320641283    0.161527080    0.161529780    0.161530889
   20.380761523    0.165530742    0.165534098    0.165535615
   20.440881764    0.169740031    0.169744322    0.169746079
   20.501002004    0.174245566    0.174250142    0.174252014
   20.561122244    0.176640630    0.176644517    0.176646595
   20.621242485    0.180083661    0.180084358    0.180087383
   20.681362725    0.188591529    0.188590521    0.188594347
   20.741482966    0.195961555    0.195961571    0.195966039
   20.801603206    0.195885325    0.195885329    0.195888642
   20.861723447    0.195043665    0.195043242    0.195044932
   20.921843687    0.195732702    0.195732359    0.195733632
   20.981963928    0.198609771    0.198608929    0.198609734
   21.042084168    0.199427639    0.199426263    0.199426496
   21.102204409    0.208235904    0.208234815    0.208234837
   21.162324649    0.219689424    0.219688885    0.219689080
   21.222444890    0.227737581    0.227737443    0.227738771
   21.282565130    0.233715341    0.233715281    0.233717160
   21.342685371    0.242153614    0.242153246    0.242155506
   21.402805611    0.245321799    0.245320300    0.245323944
   21.462925852    0.246285261    0.246283624    0.246288393
   21.523046092    0.254980783    0.254980624    0.254985350
   21.583166333    0.267670366    0.267671490    0.267675914
   21.643286573    0.280865562    0.280867544    0.280871712
   21.703406814    0.292591430    0.292593823    0.292597983
   21.763527054    0.300007288    0.300008892    0.300013130
   21.823647295    0.293277395    0.293275934    0.293279372
   21.883767535    0.282047141    0.282042443    0.282045129
   21.943887776    0.287135885    0.287130782    0.287133324
   22.004008016    0.298403051    0.298399514    0.298401698
   22.064128257    0.303249947    0.303248135    0.303249668
   22.124248497    0.301208354    0.301207468    0.301208788
   22.184368737    0.302398570    0.302398378    0.302399645
   22.244488978    0.309117357    0.309117420    0.309118628
   22.304609218    0.312872411    0.312870968    0.312872040
   22.364729459    0.312534386    0.312530369    0.312530595
   22.424849699    0.316660823    0.316655169    0.316654986
   22.484969940    0.319597149    0.319591418    0.319592363
   22.545090180    0.317190361    0.317185651    0.317188377
   22.605210421    0.317604671    0.317601490    0.317606051
   22.665330661    0.322411283    0.322409421    0.322413860
   22.725450902    0.328475797    0.328473945    0.328478587
   22.785571142    0.336443856    0.336441489    0.336447110
   22.845691383    0.346193022    0.346190754    0.346196964
   22.905811623    0.355232417    0.355230869    0.355237027
   22.965931864    0.362086083    0.362085221    0.362091186
