# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000   20.395593149   20.395593950   20.395593192
    0.060120240   20.374607645   20.374608448   20.374607690
    0.120240481   20.334358529   20.334359332   20.334358577
    0.180360721   20.281585319   20.281586123   20.281585370
    0.240480962   20.216610556   20.216611362   20.216610612
    0.300601202   20.139730674   20.139731482   20.139730735
    0.360721443   20.051290605   20.051291414   20.051290672
    0.420841683   19.951679903   19.951680713   19.951679976
    0.480961924   19.841328178   19.841328990   19.841328258
    0.541082164   19.720700226   19.720701040   19.720700314
    0.601202405   19.590290964   19.590291780   19.590291061
    0.661322645   19.450620272   19.450621090   19.450620377
    0.721442886   19.302227835   19.302228654   19.302227949
    0.781563126   19.145668075   19.145668896   19.145668199
    0.841683367   18.981505250   18.981506073   18.981505384
    0.901803607   18.810308794   18.810309618   18.810308938
    0.961923848   18.632648938   18.632649762   18.632649092
    1.022044088   18.449092674   18.449093499   18.449092838
    1.082164329   18.260200082   18.260200907   18.260200256
    1.142284569   18.066521043   18.066521867   18.066521227
    1.202404810   17.868592346   17.868593170   17.868592540
    1.262525050   17.666935195   17.666936019   17.666935400
    1.322645291   17.462053101   17.462053923   17.462053315
    1.382765531   17.254430148   17.254430968   17.254430371
    1.442885772   17.044529616   17.044530434   17.044529849
    1.503006012   16.832792939   16.832793754   16.832793181
    1.563126253   16.619638958   16.619639770   16.619639209
    1.623246493   16.405463464   16.405464273   16.405463723
    1.683366733   16.190638979   16.190639784   16.190639247
    1.743486974   15.975514764   15.975515565   15.975515040
    1.803607214   15.760417017   15.760417813   15.760417301
    1.863727455   15.545649232   15.545650022   15.545649523
    1.923847695   15.331492701   15.331493486   15.331492999
    1.983967936   15.118207132   15.118207911   15.118207437
    2.044088176   14.906031357   14.906032130   14.906031668
    2.104208417   14.695184114   14.695184880   14.695184430
    2.164328657   14.485864885   14.485865644   14.485865206
    2.224448898   14.278254777   14.278255529   14.278255104
    2.284569138   14.072517423   14.072518167   14.072517754
    2.344689379   13.868799899   13.868800636   13.868800235
    2.404809619   13.667233647   13.667234375   13.667233987
    2.464929860   13.467935385   13.467936106   13.467935729
    2.525050100   13.271008017   13.271008728   13.271008364
    2.585170341   13.076541505   13.076542208   13.076541856
    2.645290581   12.884613739   12.884614434   12.884614093
    2.705410822   12.695291360   12.695292046   12.695291717
    2.765531062   12.508630565   12.508631242   12.508630924
    2.825651303   12.324677872   12.324678540   12.324678233
    2.885771543   12.143470854   12.143471512   12.143471217
    2.945891784   11.965038837   11.965039486   11.965039202
    3.006012024   11.789403562   11.789404201   11.789403928
    3.066132265   11.616579808   11.616580439   11.616580176
    3.126252505   11.446575988   11.446576609   11.446576357
    3.186372745   11.279394701   11.279395313   11.279395071
    3.246492986   11.115033254   11.115033856   11.115033625
    3.306613226   10.953484151   10.953484744   10.953484522
    3.366733467   10.794735550   10.794736134   10.794735922
    3.426853707   10.638771689   10.638772264   10.638772062
    3.486973948   10.485573283   10.485573849   10.485573656
    3.547094188   10.335117892   10.335118449   10.335118265
    3.607214429   10.187380263   10.187380810   10.187380637
    3.667334669   10.042332648   10.042333186   10.042333021
    3.727454910    9.899945094    9.899945623    9.899945467
    3.787575150    9.760185719    9.760186239    9.760186092
    3.847695391    9.623020955    9.623021466    9.623021327
    3.907815631    9.488415781    9.488416284    9.488416153
    3.967935872    9.356333934    9.356334429    9.356334306
    4.028056112    9.226738102    9.226738588    9.226738473
    4.088176353    9.099590097    9.099590575    9.099590468
    4.148296593    8.974851024    8.974851493    8.974851394
    4.208416834    8.852481422    8.852481883    8.852481792
    4.268537074    8.732441403    8.732441856    8.732441772
    4.328657315    8.614690772    8.614691217    8.614691140
    4.388777555    8.499189139    8.499189576    8.499189506
    4.448897796    8.385896017    8.385896446    8.385896383
    4.509018036    8.274770916    8.274771339    8.274771282
    4.569138277    8.165773425    8.165773840    8.165773790
    4.629258517    8.058863281    8.058863689    8.058863645
    4.689378758    7.954000438    7.954000839    7.954000802
    4.749498998    7.851145127    7.851145520    7.851145489
    4.809619238    7.750257904    7.750258290    7.750258265
    4.869739479    7.651299700    7.651300080    7.651300060
    4.929859719    7.554231861    7.554232234    7.554232221
    4.989979960    7.459016183    7.459016549    7.459016542
    5.050100200    7.365614943    7.365615303    7.365615301
    5.110220441    7.273990928    7.273991282    7.273991285
    5.170340681    7.184107455    7.184107803    7.184107811
    5.230460922    7.095928395    7.095928736    7.095928750
    5.290581162    7.009418183    7.009418520    7.009418538
    5.350701403    6.924541841    6.924542171    6.924542194
    5.410821643    6.841264978    6.841265303    6.841265331
    5.470941884    6.759553809    6.759554128    6.759554160
    5.531062124    6.679375151    6.679375465    6.679375502
    5.591182365    6.600696438    6.600696747    6.600696788
    5.651302605    6.523485716    6.523486019    6.523486065
    5.711422846    6.447711647    6.447711945    6.447711995
    5.771543086    6.373343506    6.373343800    6.373343854
    5.831663327    6.300351186    6.300351474    6.300351533
    5.891783567    6.228705187    6.228705470    6.228705533
    5.951903808    6.158376617    6.158376896    6.158376962
    6.012024048    6.089337185    6.089337460    6.089337530
    6.072144289    6.021559200    6.021559470    6.021559543
    6.132264529    5.955015557    5.955015822    5.955015899
    6.192384770    5.889679736    5.889679998    5.889680078
    6.252505010    5.825525795    5.825526052    5.825526136
    6.312625251    5.762528357    5.762528610    5.762528697
    6.372745491    5.700662606    5.700662855    5.700662946
    6.432865731    5.639904278    5.639904523    5.639904617
    6.492985972    5.580229651    5.580229893    5.580229989
    6.553106212    5.521615535    5.521615773    5.521615873
    6.613226453    5.464039266    5.464039500    5.464039603
    6.673346693    5.407478691    5.407478922    5.407479028
    6.733466934    5.351912166    5.351912393    5.351912502
    6.793587174    5.297318539    5.297318762    5.297318873
    6.853707415    5.243677143    5.243677364    5.243677477
    6.913827655    5.190967790    5.190968007    5.190968123
    6.973947896    5.139170754    5.139170968    5.139171087
    7.034068136    5.088266768    5.088266979    5.088267100
    7.094188377    5.038237010    5.038237218    5.038237342
    7.154308617    4.989063095    4.989063300    4.989063426
    7.214428858    4.940727067    4.940727269    4.940727397
    7.274549098    4.893211384    4.893211583    4.893211714
    7.334669339    4.846498918    4.846499114    4.846499247
    7.394789579    4.800572935    4.800573129    4.800573263
    7.454909820    4.755417095    4.755417286    4.755417423
    7.515030060    4.711015437    4.711015626    4.711015765
    7.575150301    4.667352375    4.667352561    4.667352702
    7.635270541    4.624412683    4.624412866    4.624413009
    7.695390782    4.582181493    4.582181674    4.582181819
    7.755511022    4.540644283    4.540644462    4.540644608
    7.815631263    4.499786869    4.499787046    4.499787194
    7.875751503    4.459595398    4.459595572    4.459595722
    7.935871743    4.420056338    4.420056510    4.420056662
    7.995991984    4.381156474    4.381156643    4.381156797
    8.056112224    4.342882895    4.342883063    4.342883218
    8.116232465    4.305222993    4.305223158    4.305223315
    8.176352705    4.268164448    4.268164612    4.268164770
    8.236472946    4.231695230    4.231695391    4.231695551
    8.296593186    4.195803582    4.195803742    4.195803903
    8.356713427    4.160478022    4.160478180    4.160478342
    8.416833667    4.125707331    4.125707487    4.125707651
    8.476953908    4.091480547    4.091480701    4.091480867
    8.537074148    4.057786962    4.057787115    4.057787281
    8.597194389    4.024616112    4.024616262    4.024616430
    8.657314629    3.991957771    3.991957920    3.991958089
    8.717434870    3.959801949    3.959802096    3.959802267
    8.777555110    3.928138882    3.928139027    3.928139199
    8.837675351    3.896959028    3.896959171    3.896959344
    8.897795591    3.866253061    3.866253203    3.866253377
    8.957915832    3.836011867    3.836012008    3.836012183
    9.018036072    3.806226538    3.806226677    3.806226853
    9.078156313    3.776888365    3.776888502    3.776888680
    9.138276553    3.747988836    3.747988972    3.747989150
    9.198396794    3.719519630    3.719519764    3.719519944
    9.258517034    3.691472611    3.691472744    3.691472924
    9.318637275    3.663839825    3.663839957    3.663840138
    9.378757515    3.636613495    3.636613626    3.636613808
    9.438877756    3.609786017    3.609786147    3.609786330
    9.498997996    3.583349955    3.583350084    3.583350267
    9.559118236    3.557298037    3.557298164    3.557298349
    9.619238477    3.531623151    3.531623277    3.531623463
    9.679358717    3.506318342    3.506318466    3.506318653
    9.739478958    3.481376805    3.481376929    3.481377116
    9.799599198    3.456791887    3.456792010    3.456792198
    9.859719439    3.432557078    3.432557199    3.432557388
    9.919839679    3.408666009    3.408666129    3.408666318
    9.979959920    3.385112449    3.385112568    3.385112758
   10.040080160    3.361890304    3.361890421    3.361890612
   10.100200401    3.338993607    3.338993723    3.338993915
   10.160320641    3.316416522    3.316416638    3.316416830
   10.220440882    3.294153338    3.294153453    3.294153645
   10.280561122    3.272198465    3.272198579    3.272198772
   10.340681363    3.250546432    3.250546545    3.250546738
   10.400801603    3.229191884    3.229191996    3.229192190
   10.460921844    3.208129580    3.208129691    3.208129886
   10.521042084    3.187354389    3.187354499    3.187354695
   10.581162325    3.166861289    3.166861397    3.166861593
   10.641282565    3.146645360    3.146645468    3.146645665
   10.701402806    3.126701790    3.126701897    3.126702094
   10.761523046    3.107025862    3.107025969    3.107026166
   10.821643287    3.087612962    3.087613067    3.087613265
   10.881763527    3.068458567    3.068458672    3.068458870
   10.941883768    3.049558251    3.049558355    3.049558553
   11.002004008    3.030907677    3.030907780    3.030907979
   11.062124248    3.012502597    3.012502700    3.012502899
   11.122244489    2.994338853    2.994338954    2.994339154
   11.182364729    2.976412367    2.976412467    2.976412668
   11.242484970    2.958719147    2.958719247    2.958719447
   11.302605210    2.941255282    2.941255381    2.941255582
   11.362725451    2.924016939    2.924017037    2.924017238
   11.422845691    2.907000362    2.907000460    2.907000661
   11.482965932    2.890201872    2.890201969    2.890202171
   11.543086172    2.873617863    2.873617959    2.873618161
   11.603206413    2.857244799    2.857244895    2.857245097
   11.663326653    2.841079218    2.841079313    2.841079516
   11.723446894    2.825117724    2.825117818    2.825118021
   11.783567134    2.809356989    2.809357082    2.809357286
   11.843687375    2.793793750    2.793793843    2.793794047
   11.903807615    2.778424809    2.778424902    2.778425106
   11.963927856    2.763247031    2.763247123    2.763247327
   12.024048096    2.748257341    2.748257432    2.748257636
   12.084168337    2.733452725    2.733452815    2.733453019
   12.144288577    2.718830225    2.718830315    2.718830520
   12.204408818    2.704386945    2.704387034    2.704387239
   12.264529058    2.690120040    2.690120128    2.690120333
   12.324649299    2.676026722    2.676026810    2.676027015
   12.384769539    2.662104257    2.662104344    2.662104550
   12.444889780    2.648349961    2.648350048    2.648350254
   12.505010020    2.634761204    2.634761291    2.634761496
   12.565130261    2.621335404    2.621335490    2.621335696
   12.625250501    2.608070028    2.608070114    2.608070320
   12.685370741    2.594962592    2.594962677    2.594962883
   12.745490982    2.582010657    2.582010741    2.582010947
   12.805611222    2.569211830    2.569211914    2.569212120
   12.865731463    2.556563765    2.556563848    2.556564055
   12.925851703    2.544064157    2.544064240    2.544064447
   12.985971944    2.531710746    2.531710828    2.531711034
   13.046092184    2.519501311    2.519501393    2.519501599
   13.106212425    2.507433675    2.507433756    2.507433963
   13.166332665    2.495505699    2.495505780    2.495505987
   13.226452906    2.483715286    2.483715366    2.483715572
   13.286573146    2.472060373    2.472060452    2.472060659
   13.346693387    2.460538938    2.460539017    2.460539224
   13.406813627    2.449148995    2.449149074    2.449149281
   13.466933868    2.437888594    2.437888672    2.437888879
   13.527054108    2.426755820    2.426755897    2.426756104
   13.587174349    2.415748792    2.415748869    2.415749076
   13.647294589    2.404865663    2.404865740    2.404865947
   13.707414830    2.394104621    2.394104697    2.394104904
   13.767535070    2.383463883    2.383463959    2.383464166
   13.827655311    2.372941701    2.372941776    2.372941983
   13.887775551    2.362536355    2.362536430    2.362536637
   13.947895792    2.352246158    2.352246232    2.352246439
   14.008016032    2.342069450    2.342069525    2.342069732
   14.068136273    2.332004604    2.332004678    2.332004885
   14.128256513    2.322050018    2.322050092    2.322050298
   14.188376754    2.312204119    2.312204193    2.312204399
   14.248496994    2.302465363    2.302465436    2.302465642
   14.308617234    2.292832230    2.292832302    2.292832509
   14.368737475    2.283303229    2.283303301    2.283303507
   14.428857715    2.273876892    2.273876964    2.273877170
   14.488977956    2.264551780    2.264551851    2.264552057
   14.549098196    2.255326474    2.255326545    2.255326752
   14.609218437    2.246199584    2.246199655    2.246199861
   14.669338677    2.237169740    2.237169811    2.237170017
   14.729458918    2.228235598    2.228235668    2.228235874
   14.789579158    2.219395834    2.219395904    2.219396110
   14.849699399    2.210649149    2.210649218    2.210649424
   14.909819639    2.201994265    2.201994333    2.201994539
   14.969939880    2.193429924    2.193429992    2.193430198
   15.030060120    2.184954891    2.184954960    2.184955165
   15.090180361    2.176567952    2.176568020    2.176568225
   15.150300601    2.168267911    2.168267978    2.168268183
   15.210420842    2.160053593    2.160053660    2.160053865
   15.270541082    2.151923843    2.151923910    2.151924115
   15.330661323    2.143877525    2.143877591    2.143877796
   15.390781563    2.135913520    2.135913586    2.135913791
   15.450901804    2.128030729    2.128030795    2.128031000
   15.511022044    2.120228072    2.120228137    2.120228342
   15.571142285    2.112504483    2.112504548    2.112504753
   15.631262525    2.104858918    2.104858982    2.104859186
   15.691382766    2.097290345    2.097290409    2.097290613
   15.751503006    2.089797753    2.089797817    2.089798021
   15.811623246    2.082380144    2.082380208    2.082380412
   15.871743487    2.075036539    2.075036603    2.075036806
   15.931863727    2.067765973    2.067766036    2.067766239
   15.991983968    2.060567495    2.060567558    2.060567761
   16.052104208    2.053440173    2.053440236    2.053440439
   16.112224449    2.046383086    2.046383149    2.046383352
   16.172344689    2.039395331    2.039395393    2.039395595
   16.232464930    2.032476015    2.032476077    2.032476280
   16.292585170    2.025624264    2.025624325    2.025624528
   16.352705411    2.018839214    2.018839275    2.018839477
   16.412825651    2.012120016    2.012120077    2.012120278
   16.472945892    2.005465834    2.005465894    2.005466096
   16.533066132    1.998875845    1.998875905    1.998876107
   16.593186373    1.992349240    1.992349300    1.992349501
   16.653306613    1.985885220    1.985885280    1.985885481
   16.713426854    1.979483000    1.979483060    1.979483261
   16.773547094    1.973141808    1.973141868    1.973142068
   16.833667335    1.966860882    1.966860941    1.966861142
   16.893787575    1.960639473    1.960639532    1.960639732
   16.953907816    1.954476842    1.954476900    1.954477100
   17.014028056    1.948372262    1.948372320    1.948372520
   17.074148297    1.942325018    1.942325076    1.942325276
   17.134268537    1.936334405    1.936334462    1.936334662
   17.194388778    1.930399727    1.930399785    1.930399984
   17.254509018    1.924520303    1.924520360    1.924520559
   17.314629259    1.918695457    1.918695514    1.918695712
   17.374749499    1.912924526    1.912924583    1.912924781
   17.434869739    1.907206857    1.907206913    1.907207112
   17.494989980    1.901541806    1.901541862    1.901542060
   17.555110220    1.895928738    1.895928794    1.895928992
   17.615230461    1.890367030    1.890367085    1.890367283
   17.675350701    1.884856064    1.884856119    1.884856316
   17.735470942    1.879395234    1.879395289    1.879395486
   17.795591182    1.873983944    1.873983998    1.873984195
   17.855711423    1.868621603    1.868621657    1.868621854
   17.915831663    1.863307632    1.863307686    1.863307882
   17.975951904    1.858041458    1.858041512    1.858041708
   18.036072144    1.852822519    1.852822573    1.852822769
   18.096192385    1.847650259    1.847650313    1.847650508
   18.156312625    1.842524131    1.842524184    1.842524379
   18.216432866    1.837443594    1.837443648    1.837443843
   18.276553106    1.832408119    1.832408172    1.832408367
   18.336673347    1.827417180    1.827417233    1.827417427
   18.396793587    1.822470261    1.822470314    1.822470508
   18.456913828    1.817566853    1.817566906    1.817567100
   18.517034068    1.812706455    1.812706507    1.812706700
   18.577154309    1.807888570    1.807888622    1.807888816
   18.637274549    1.803112712    1.803112764    1.803112957
   18.697394790    1.798378400    1.798378452    1.798378645
   18.757515030    1.793685160    1.793685211    1.793685404
   18.817635271    1.789032524    1.789032575    1.789032767
   18.877755511    1.784420031    1.784420082    1.784420274
   18.937875752    1.779847227    1.779847277    1.779847469
   18.997995992    1.775313664    1.775313714    1.775313906
   19.058116232    1.770818900    1.770818950    1.770819141
   19.118236473    1.766362499    1.766362549    1.766362740
   19.178356713    1.761944032    1.761944081    1.761944272
   19.238476954    1.757563074    1.757563123    1.757563314
   19.298597194    1.753219208    1.753219257    1.753219448
   19.358717435    1.748912022    1.748912071    1.748912261
   19.418837675    1.744641109    1.744641158    1.744641347
   19.478957916    1.740406068    1.740406116    1.740406306
   19.539078156    1.736206503    1.736206552    1.736206741
   19.599198397    1.732042025    1.732042073    1.732042262
   19.659318637    1.727912248    1.727912296    1.727912485
   19.719438878    1.723816793    1.723816841    1.723817030
   19.779559118    1.719755286    1.719755333    1.719755521
   19.839679359    1.715727356    1.715727403    1.715727591
   19.899799599    1.711732639    1.711732686    1.711732874
   19.959919840    1.707770776    1.707770823    1.707771010
   20.020040080    1.703841411    1.703841458    1.703841645
   20.080160321    1.699944195    1.699944241    1.699944428
   20.140280561    1.696078782    1.696078828    1.696079015
   20.200400802    1.692244831    1.692244877    1.692245063
   20.260521042    1.688442005    1.688442051    1.688442237
   20.320641283    1.684669974    1.684670020    1.684670205
   20.380761523    1.680928408    1.680928454    1.680928639
   20.440881764    1.677216985    1.677217031    1.677217216
   20.501002004    1.673535386    1.673535432    1.673535616
   20.561122244    1.669883296    1.669883341    1.669883526
   20.621242485    1.666260404    1.666260449    1.666260633
   20.681362725    1.662666403    1.662666448    1.662666632
   20.741482966    1.659100991    1.659101035    1.659101219
   20.801603206    1.655563868    1.655563912    1.655564095
   20.861723447    1.652054740    1.652054784    1.652054967
   20.921843687    1.648573315    1.648573359    1.648573541
   20.981963928    1.645119306    1.645119349    1.645119532
   21.042084168    1.641692429    1.641692472    1.641692654
   21.102204409    1.638292404    1.638292447    1.638292629
   21.162324649    1.634918954    1.634918997    1.634919179
   21.222444890    1.631571806    1.631571849    1.631572031
   21.282565130    1.628250692    1.628250734    1.628250915
   21.342685371    1.624955343    1.624955386    1.624955566
   21.402805611    1.621685498    1.621685540    1.621685721
   21.462925852    1.618440897    1.618440939    1.618441119
   21.523046092    1.615221284    1.615221326    1.615221505
   21.583166333    1.612026405    1.612026447    1.612026626
   21.643286573    1.608856011    1.608856053    1.608856232
   21.703406814    1.605709855    1.605709897    1.605710075
   21.763527054    1.602587693    1.602587735    1.602587913
   21.823647295    1.599489285    1.599489326    1.599489504
   21.883767535    1.596414393    1.596414434    1.596414612
   21.943887776    1.593362781    1.593362822    1.593363000
   22.004008016    1.590334219    1.590334260    1.590334437
   22.064128257    1.587328477    1.587328518    1.587328695
   22.124248497    1.584345330    1.584345370    1.584345547
   22.184368737    1.581384552    1.581384593    1.581384769
   22.244488978    1.578445925    1.578445965    1.578446141
   22.304609218    1.575529229    1.575529269    1.575529445
   22.364729459    1.572634250    1.572634289    1.572634465
   22.424849699    1.569760774    1.569760814    1.569760989
   22.484969940    1.566908592    1.566908631    1.566908806
   22.545090180    1.564077496    1.564077535    1.564077709
   22.605210421    1.561267280    1.561267319    1.561267493
   22.665330661    1.558477742    1.558477782    1.558477955
   22.725450902    1.555708683    1.555708722    1.555708895
   22.785571142    1.552959903    1.552959942    1.552960115
   22.845691383    1.550231207    1.550231246    1.550231419
   22.905811623    1.547522403    1.547522442    1.547522614
   22.965931864    1.544833300    1.544833338    1.544833510
   23.026052104    1.542163708    1.542163746    1.542163918
   23.086172345    1.539513441    1.539513479    1.539513651
   23.146292585    1.536882316    1.536882354    1.536882525
   23.206412826    1.534270150    1.534270188    1.534270359
   23.266533066    1.531676764    1.531676802    1.531676972
   23.326653307    1.529101979    1.529102017    1.529102187
   23.386773547    1.526545621    1.526545658    1.526545828
   23.446893788    1.524007514    1.524007551    1.524007721
   23.507014028    1.521487489    1.521487526    1.521487695
   23.567134269    1.518985374    1.518985411    1.518985580
   23.627254509    1.516501004    1.516501040    1.516501209
   23.687374749    1.514034211    1.514034247    1.514034416
   23.747494990    1.511584832    1.511584868    1.511585036
   23.807615230    1.509152705    1.509152741    1.509152909
   23.867735471    1.506737670    1.506737706    1.506737874
   23.927855711    1.504339570    1.504339606    1.504339773
   23.987975952    1.501958247    1.501958282    1.501958449
   24.048096192    1.499593546    1.499593582    1.499593749
   24.108216433    1.497245316    1.497245352    1.497245518
   24.168336673    1.494913405    1.494913441    1.494913607
   24.228456914    1.492597664    1.492597699    1.492597865
   24.288577154    1.490297944    1.490297979    1.490298145
   24.348697395    1.488014101    1.488014136    1.488014301
   24.408817635    1.485745988    1.485746023    1.485746188
   24.468937876    1.483493465    1.483493500    1.483493664
   24.529058116    1.481256389    1.481256424    1.481256588
   24.589178357    1.479034621    1.479034656    1.479034820
   24.649298597    1.476828023    1.476828058    1.476828221
   24.709418838    1.474636459    1.474636493    1.474636657
   24.769539078    1.472459793    1.472459827    1.472459990
   24.829659319    1.470297893    1.470297927    1.470298089
   24.889779559    1.468150625    1.468150659    1.468150821
   24.949899800    1.466017860    1.466017894    1.466018056
   25.010020040    1.463899469    1.463899502    1.463899664
   25.070140281    1.461795323    1.461795356    1.461795518
   25.130260521    1.459705297    1.459705330    1.459705491
   25.190380762    1.457629266    1.457629299    1.457629460
   25.250501002    1.455567106    1.455567139    1.455567299
   25.310621242    1.453518695    1.453518728    1.453518888
   25.370741483    1.451483912    1.451483945    1.451484105
   25.430861723    1.449462638    1.449462671    1.449462830
   25.490981964    1.447454755    1.447454787    1.447454946
   25.551102204    1.445460145    1.445460177    1.445460336
   25.611222445    1.443478693    1.443478725    1.443478884
   25.671342685    1.441510284    1.441510316    1.441510475
   25.731462926    1.439554806    1.439554838    1.439554996
   25.791583166    1.437612146    1.437612178    1.437612336
   25.851703407    1.435682194    1.435682226    1.435682383
   25.911823647    1.433764840    1.433764871    1.433765029
   25.971943888    1.431859975    1.431860006    1.431860163
   26.032064128    1.429967492    1.429967524    1.429967680
   26.092184369    1.428087286    1.428087317    1.428087474
   26.152304609    1.426219251    1.426219282    1.426219438
   26.212424850    1.424363283    1.424363314    1.424363470
   26.272545090    1.422519279    1.422519310    1.422519466
   26.332665331    1.420687139    1.420687170    1.420687325
   26.392785571    1.418866760    1.418866791    1.418866946
   26.452905812    1.417058044    1.417058075    1.417058229
   26.513026052    1.415260892    1.415260923    1.415261077
   26.573146293    1.413475207    1.413475237    1.413475391
   26.633266533    1.411700891    1.411700922    1.411701075
   26.693386774    1.409937850    1.409937881    1.409938034
   26.753507014    1.408185990    1.408186020    1.408186173
   26.813627255    1.406445215    1.406445245    1.406445398
   26.873747495    1.404715435    1.404715465    1.404715617
   26.933867735    1.402996557    1.402996587    1.402996739
   26.993987976    1.401288491    1.401288521    1.401288673
   27.054108216    1.399591147    1.399591177    1.399591328
   27.114228457    1.397904437    1.397904466    1.397904617
   27.174348697    1.396228271    1.396228301    1.396228451
   27.234468938    1.394562565    1.394562594    1.394562744
   27.294589178    1.392907230    1.392907259    1.392907409
   27.354709419    1.391262183    1.391262212    1.391262362
   27.414829659    1.389627338    1.389627367    1.389627517
   27.474949900    1.388002613    1.388002642    1.388002791
   27.535070140    1.386387925    1.386387954    1.386388103
   27.595190381    1.384783191    1.384783220    1.384783369
   27.655310621    1.383188332    1.383188360    1.383188509
   27.715430862    1.381603266    1.381603294    1.381603443
   27.775551102    1.380027915    1.380027943    1.380028091
   27.835671343    1.378462199    1.378462227    1.378462375
   27.895791583    1.376906041    1.376906069    1.376906217
   27.955911824    1.375359365    1.375359393    1.375359540
   28.016032064    1.373822093    1.373822121    1.373822268
   28.076152305    1.372294151    1.372294179    1.372294325
   28.136272545    1.370775464    1.370775491    1.370775637
   28.196392786    1.369265957    1.369265984    1.369266130
   28.256513026    1.367765557    1.367765585    1.367765730
   28.316633267    1.366274193    1.366274220    1.366274365
   28.376753507    1.364791792    1.364791819    1.364791964
   28.436873747    1.363318282    1.363318309    1.363318454
   28.496993988    1.361853595    1.361853622    1.361853766
   28.557114228    1.360397659    1.360397686    1.360397830
   28.617234469    1.358950406    1.358950433    1.358950577
   28.677354709    1.357511768    1.357511794    1.357511938
   28.737474950    1.356081676    1.356081703    1.356081846
   28.797595190    1.354660065    1.354660091    1.354660234
   28.857715431    1.353246867    1.353246893    1.353247036
   28.917835671    1.351842016    1.351842042    1.351842185
   28.977955912    1.350445448    1.350445475    1.350445617
   29.038076152    1.349057099    1.349057125    1.349057267
   29.098196393    1.347676904    1.347676930    1.347677071
   29.158316633    1.346304800    1.346304826    1.346304967
   29.218436874    1.344940724    1.344940750    1.344940891
   29.278557114    1.343584615    1.343584641    1.343584781
   29.338677355    1.342236411    1.342236437    1.342236577
   29.398797595    1.340896051    1.340896077    1.340896217
   29.458917836    1.339563475    1.339563501    1.339563641
   29.519038076    1.338238624    1.338238649    1.338238789
   29.579158317    1.336921437    1.336921462    1.336921602
   29.639278557    1.335611857    1.335611882    1.335612021
